********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[01:00:02, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[01:00:26, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/6720EE63.vdb'
[01:00:35, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[01:02:01, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/38E9FA97.vdb'
[01:02:10, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[01:02:17, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/3C7DE179.vdb'
[01:02:19, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:03:24, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/561F8CAC.vdb'
[02:03:35, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:04:11, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/08B29BAE.vdb'
[02:04:20, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:04:49, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/68800708.vdb'
[02:04:54, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:05:28, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/49EFA996.vdb'
[02:05:37, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:05:51, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/1B1ED631.vdb'
[02:05:58, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:13:18, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/13181203.vdb'
[02:13:26, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:14:02, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/2B5E52BC.vdb'
[02:14:16, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:15:23, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/4B1F0DB2.vdb'
[02:17:02, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[02:17:37, Info   ]: Creating empty voxel database as 'C:/Users/MICHAE~1/AppData/Local/Temp/me/SWTOR Galaxy/200ADB7C.vdb'
[02:17:40, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
